StudyHours,Pass
0.55,0.0
0.7,0.0
0.74,0.0
0.83,0.0
0.93,0.0
0.94,0.0
1.05,0.0
1.1,0.0
1.12,0.0
1.2,0.0
1.21,0.0
1.34,0.0
1.43,0.0
1.52,0.0
1.6,0.0
1.64,0.0
1.66,0.0
1.83,0.0
1.84,0.0
1.98,0.0
1.98,0.0
2.12,0.0
2.23,0.0
2.24,0.0
2.26,0.0
2.36,0.0
2.39,1.0
2.4,0.0
2.52,0.0
2.96,0.0
3.08,0.0
3.17,1.0
3.27,0.0
3.28,0.0
3.39,0.0
3.39,0.0
3.45,0.0
3.46,0.0
3.59,0.0
3.59,0.0
3.64,0.0
3.89,0.0
3.91,0.0
3.98,1.0
4.06,1.0
4.19,0.0
4.56,0.0
4.6,0.0
4.68,0.0
4.83,1.0
4.99,1.0
5.19,1.0
5.2,1.0
5.39,0.0
5.44,1.0
5.47,0.0
5.49,1.0
5.66,0.0
5.69,1.0
5.83,1.0
6.13,1.0
6.18,0.0
6.19,1.0
6.21,1.0
6.27,1.0
6.31,1.0
6.42,1.0
6.56,1.0
6.79,1.0
7.0,1.0
7.22,1.0
7.23,1.0
7.28,1.0
7.43,1.0
7.43,1.0
7.45,1.0
7.73,1.0
7.82,1.0
7.83,1.0
7.84,1.0
7.86,1.0
7.96,1.0
8.12,1.0
8.18,1.0
8.25,1.0
8.37,1.0
8.41,1.0
8.7,1.0
8.73,1.0
8.93,1.0
9.0,1.0
9.14,1.0
9.26,1.0
9.43,1.0
9.51,1.0
9.53,1.0
9.67,1.0
9.71,1.0
9.71,1.0
9.88,1.0
